hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP16738	58720	0.005807	0.014152	0.049063	0.043920	0.082698	0.137245	0.127248	0.000000	0.030109	0.043920	0.031880	0.049217	0.003270	0.016127	0.010354	0.000528	0.000017	0.013845	0.031540	0.059315	0.066757	0.000000	0.024097	0.027606	0.012330	0.000017	0.050204	0.026737	0.017422	0.024217	0.000358
HIP16867	77093	0.007173	0.019042	0.037357	0.041897	0.106119	0.152647	0.117637	0.000000	0.028239	0.045387	0.032558	0.053105	0.005344	0.017485	0.013477	0.000389	0.000000	0.014450	0.026410	0.055219	0.054441	0.000052	0.022207	0.029380	0.014243	0.000000	0.042585	0.024295	0.022207	0.016603	0.000052
HIP17370	13184	0.011908	0.011908	0.022376	0.043007	0.076153	0.152685	0.100121	0.000000	0.036029	0.035498	0.029885	0.043386	0.003944	0.017597	0.010619	0.000607	0.000228	0.029050	0.038380	0.095343	0.025106	0.000076	0.021314	0.039518	0.017597	0.000000	0.037318	0.028595	0.030871	0.040731	0.000152
HIP17440	66855	0.008541	0.019011	0.024665	0.026909	0.108384	0.130387	0.103478	0.000015	0.022721	0.046459	0.037095	0.050512	0.004472	0.020103	0.011667	0.000613	0.000000	0.013118	0.035689	0.067444	0.062523	0.000000	0.025114	0.032264	0.013985	0.000000	0.046264	0.046204	0.019535	0.022661	0.000165
HIP17445	63878	0.008391	0.017956	0.037086	0.040530	0.104934	0.145919	0.113999	0.000000	0.032860	0.046213	0.031623	0.055966	0.003648	0.015655	0.011099	0.000391	0.000031	0.012665	0.029838	0.049829	0.054541	0.000031	0.022981	0.050706	0.013181	0.000000	0.038824	0.018128	0.018191	0.024578	0.000204
HIP17449	59358	0.006166	0.012854	0.049530	0.042690	0.084622	0.142980	0.112992	0.000000	0.029752	0.044459	0.034519	0.053876	0.004060	0.015786	0.011186	0.000152	0.000236	0.013090	0.029044	0.063934	0.056185	0.000034	0.022019	0.037939	0.015213	0.000000	0.048637	0.024327	0.020671	0.022844	0.000202
HIP17454	52923	0.006028	0.012093	0.045311	0.042307	0.079644	0.129792	0.118323	0.000000	0.029628	0.043289	0.038584	0.051943	0.003590	0.016326	0.011640	0.000567	0.000000	0.012698	0.031971	0.066247	0.065548	0.000057	0.022372	0.029156	0.012679	0.000000	0.050016	0.051679	0.012679	0.015645	0.000189
HIP17457	63722	0.006324	0.014830	0.052117	0.047597	0.085277	0.138335	0.118813	0.000000	0.028216	0.041304	0.038903	0.050987	0.004943	0.018691	0.011283	0.000471	0.000000	0.014312	0.033583	0.060419	0.059917	0.000047	0.023053	0.029833	0.013433	0.000000	0.043282	0.029221	0.017765	0.016839	0.000204
HIP17462	40251	0.007130	0.016347	0.040446	0.033465	0.097041	0.133537	0.117513	0.000025	0.033117	0.041862	0.033490	0.058558	0.004497	0.019950	0.011130	0.000298	0.000000	0.016496	0.033863	0.050260	0.063800	0.000099	0.023751	0.054508	0.015031	0.000000	0.045042	0.004820	0.018459	0.025341	0.000124
HIP17534	58737	0.006044	0.014607	0.048811	0.044350	0.086657	0.132983	0.115906	0.000000	0.032858	0.040298	0.033012	0.048845	0.003967	0.017263	0.010760	0.000221	0.000187	0.014335	0.032790	0.052590	0.061511	0.000000	0.021383	0.056472	0.011781	0.000000	0.042784	0.029590	0.016889	0.022848	0.000255
HIP17577	51450	0.007386	0.018134	0.040078	0.039417	0.099184	0.142216	0.118601	0.000019	0.031681	0.047347	0.034985	0.052847	0.004315	0.019359	0.012750	0.000486	0.000000	0.013022	0.030418	0.052634	0.057570	0.000117	0.021963	0.027094	0.012420	0.000000	0.042779	0.035491	0.016812	0.020739	0.000136
HIP17585	64144	0.006860	0.012986	0.035639	0.032178	0.096486	0.127448	0.109660	0.000016	0.024196	0.040534	0.033659	0.044977	0.003944	0.017570	0.011770	0.000452	0.000000	0.014577	0.030775	0.057901	0.063061	0.000047	0.021499	0.034189	0.012831	0.000000	0.074832	0.048033	0.020267	0.023447	0.000171
HIP17657	44807	0.008414	0.019484	0.023679	0.025063	0.105787	0.117928	0.106256	0.000000	0.026960	0.042806	0.035240	0.053072	0.003816	0.018345	0.011561	0.000513	0.000089	0.016471	0.038699	0.064521	0.081483	0.000089	0.024505	0.038454	0.012766	0.000000	0.049590	0.037695	0.020019	0.016560	0.000134
HIP17698	48653	0.007338	0.015518	0.036092	0.035311	0.085483	0.120650	0.118759	0.000021	0.024007	0.042752	0.037634	0.053584	0.003617	0.018663	0.012209	0.000514	0.000000	0.015251	0.036545	0.068423	0.066985	0.000082	0.024336	0.025733	0.012928	0.000000	0.056893	0.054755	0.013586	0.012127	0.000206
HIP17723	48302	0.006232	0.015548	0.054490	0.051116	0.100079	0.148027	0.121424	0.000000	0.031779	0.043187	0.029647	0.059004	0.004555	0.018778	0.012691	0.000476	0.000000	0.012939	0.027825	0.053021	0.047514	0.000021	0.021448	0.025962	0.010145	0.000000	0.037121	0.031200	0.016003	0.019647	0.000124
HIP17737	19447	0.010439	0.021906	0.026174	0.026174	0.106186	0.135034	0.092662	0.000051	0.034196	0.043040	0.023911	0.052810	0.006222	0.016455	0.012290	0.000257	0.000154	0.012701	0.028539	0.049879	0.059495	0.000051	0.021597	0.047874	0.019129	0.000000	0.056101	0.030493	0.025094	0.041035	0.000051
HIP17760	44977	0.008493	0.018031	0.016053	0.028570	0.109923	0.129622	0.109011	0.000089	0.034618	0.044334	0.036708	0.059764	0.005114	0.019988	0.010628	0.000222	0.000111	0.010405	0.035174	0.079374	0.066856	0.000089	0.024635	0.051537	0.015719	0.000000	0.041710	0.010227	0.013518	0.019299	0.000178
HIP17793	51710	0.009824	0.018372	0.027693	0.026184	0.108838	0.128660	0.109998	0.000019	0.031096	0.045813	0.034771	0.058229	0.005550	0.018991	0.011758	0.000232	0.000251	0.014001	0.030652	0.063469	0.066680	0.000039	0.023651	0.037826	0.014214	0.000000	0.044614	0.023864	0.021621	0.022974	0.000116
HIP17837	43722	0.009606	0.018778	0.022414	0.024907	0.116006	0.133228	0.091967	0.000046	0.026737	0.045126	0.032181	0.046956	0.004208	0.016513	0.011687	0.000343	0.000000	0.012511	0.032112	0.057225	0.059444	0.000000	0.020607	0.046338	0.018252	0.000000	0.055235	0.051050	0.025250	0.021134	0.000137
HIP17845	44430	0.010376	0.022620	0.023250	0.026559	0.114045	0.124285	0.111411	0.000090	0.033738	0.041819	0.032411	0.052780	0.004479	0.016475	0.011569	0.000383	0.000045	0.012784	0.030925	0.057979	0.058361	0.000113	0.022282	0.028877	0.011929	0.000000	0.054243	0.047648	0.020122	0.028247	0.000158
HIP17887	36922	0.006771	0.016521	0.035697	0.040924	0.101376	0.148909	0.104382	0.000000	0.025947	0.045501	0.029495	0.046747	0.004144	0.018661	0.013109	0.000379	0.000000	0.009561	0.026651	0.061291	0.051081	0.000054	0.021965	0.032745	0.015519	0.000027	0.049239	0.043633	0.022886	0.026678	0.000108
HIP19048	14945	0.009167	0.028304	0.025828	0.023352	0.113483	0.124925	0.114018	0.000000	0.024891	0.039277	0.030913	0.064704	0.004951	0.018936	0.010773	0.000535	0.000000	0.016327	0.032988	0.059953	0.059886	0.000000	0.021813	0.035530	0.013650	0.000000	0.057344	0.025226	0.019739	0.023218	0.000268
HIP19089	10162	0.007282	0.015647	0.021452	0.031883	0.122122	0.129896	0.109919	0.000000	0.039264	0.033852	0.026963	0.057075	0.006396	0.017910	0.013777	0.000590	0.000000	0.030801	0.035032	0.067900	0.020960	0.000098	0.016827	0.048612	0.012399	0.000000	0.039953	0.024897	0.027947	0.040051	0.000492
HIP19716	26358	0.005387	0.012596	0.046855	0.044730	0.082897	0.133318	0.123795	0.000000	0.027013	0.038167	0.042340	0.051635	0.004363	0.017945	0.013355	0.000417	0.000000	0.014417	0.029630	0.064231	0.059413	0.000000	0.023636	0.042378	0.012406	0.000000	0.043137	0.025837	0.016769	0.023143	0.000190
HIP19717	59298	0.008483	0.017994	0.022716	0.020473	0.093797	0.119717	0.102027	0.000000	0.031198	0.041705	0.037455	0.059058	0.005211	0.021991	0.011366	0.000506	0.000304	0.013626	0.032817	0.064252	0.074117	0.000034	0.021771	0.064893	0.014587	0.000000	0.051857	0.030102	0.020760	0.017184	0.000000
