hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP01091	191258	0.000674	0.045567	0.040030	0.045792	0.118960	0.139121	0.152767	0.000005	0.043585	0.026540	0.030613	0.065341	0.007498	0.008172	0.012784	0.000727	0.000000	0.029013	0.045765	0.090480	0.007377	0.000000	0.002379	0.015006	0.009234	0.000000	0.031905	0.007038	0.022514	0.001103	0.000010
HIP01129	181598	0.000628	0.032748	0.025947	0.069076	0.104698	0.140002	0.121846	0.000000	0.037076	0.026371	0.022616	0.056647	0.009422	0.008893	0.015287	0.000820	0.000000	0.018987	0.044780	0.087352	0.004130	0.000006	0.001993	0.014070	0.011839	0.000006	0.031746	0.038470	0.033607	0.040898	0.000039
HIP01140	248507	0.000410	0.034977	0.032627	0.040711	0.119868	0.147694	0.142978	0.000000	0.043206	0.021541	0.037532	0.057757	0.006104	0.008543	0.012326	0.000684	0.000000	0.029758	0.049475	0.085539	0.005352	0.000012	0.001851	0.008394	0.010149	0.000000	0.031834	0.010483	0.024720	0.035460	0.000016
HIP01160	145133	0.000558	0.039440	0.031750	0.052827	0.116603	0.142897	0.125071	0.000000	0.027120	0.033369	0.033190	0.048266	0.006759	0.008365	0.009846	0.000806	0.000000	0.030117	0.050161	0.073278	0.005457	0.000000	0.002115	0.017529	0.007579	0.000000	0.033514	0.051780	0.021725	0.029855	0.000021
HIP01161	124956	0.000424	0.031019	0.018943	0.055948	0.107806	0.155647	0.125068	0.000000	0.038758	0.024385	0.022144	0.036781	0.006322	0.008595	0.012028	0.000728	0.000000	0.021896	0.045624	0.083037	0.004225	0.000000	0.001689	0.021528	0.010292	0.000000	0.034964	0.068224	0.027490	0.036437	0.000000
HIP01162	209644	0.000496	0.033719	0.028754	0.047667	0.122217	0.140915	0.125136	0.000000	0.036013	0.033242	0.033676	0.053538	0.006106	0.009736	0.014515	0.000835	0.000000	0.023445	0.047323	0.079826	0.004975	0.000010	0.001832	0.011071	0.014420	0.000000	0.037616	0.033905	0.017515	0.041470	0.000029
HIP01180	189161	0.000682	0.029885	0.028896	0.040061	0.110224	0.131243	0.122821	0.000000	0.029113	0.034764	0.032464	0.054218	0.006835	0.010478	0.014728	0.000804	0.000000	0.024429	0.054974	0.084901	0.006592	0.000000	0.002516	0.017504	0.009505	0.000000	0.051316	0.072340	0.010763	0.017879	0.000063
HIP01181	82129	0.000621	0.035298	0.031231	0.081457	0.105432	0.138538	0.134678	0.000000	0.037892	0.023658	0.030671	0.056168	0.011372	0.008304	0.013613	0.001011	0.000000	0.024157	0.043432	0.066651	0.005187	0.000000	0.001826	0.010861	0.008523	0.000000	0.036893	0.038671	0.020224	0.033618	0.000012
HIP01197	258401	0.000619	0.043371	0.038154	0.043827	0.114721	0.108146	0.132267	0.000000	0.034245	0.022496	0.025097	0.055778	0.006142	0.006494	0.013638	0.000894	0.000000	0.030600	0.048409	0.087720	0.005360	0.000008	0.002306	0.014288	0.007310	0.000000	0.035015	0.071137	0.023584	0.028355	0.000019
HIP01206	96992	0.000474	0.036168	0.036106	0.053231	0.107535	0.119989	0.114649	0.000000	0.038684	0.026714	0.027208	0.048818	0.006351	0.008351	0.014661	0.000742	0.000000	0.028745	0.047777	0.078666	0.004536	0.000000	0.001815	0.017857	0.010114	0.000000	0.048643	0.078501	0.028105	0.015548	0.000010
